territory,year,capacity,index,score
Basilicata,2024,conoscenza_sapere,rischio_adulti,-0.126
Calabria,2024,conoscenza_sapere,rischio_adulti,-1.724
Campania,2024,conoscenza_sapere,rischio_adulti,-1.572
Emilia-Romagna,2024,conoscenza_sapere,rischio_adulti,1.168
Friuli-Venezia Giulia,2024,conoscenza_sapere,rischio_adulti,0.965
Lazio,2024,conoscenza_sapere,rischio_adulti,1.01
Liguria,2024,conoscenza_sapere,rischio_adulti,0.061
Lombardia,2024,conoscenza_sapere,rischio_adulti,0.643
Marche,2024,conoscenza_sapere,rischio_adulti,0.636
Molise,2024,conoscenza_sapere,rischio_adulti,0.074
Piemonte,2024,conoscenza_sapere,rischio_adulti,-0.182
Puglia,2024,conoscenza_sapere,rischio_adulti,-1.613
Sardegna,2024,conoscenza_sapere,rischio_adulti,-0.501
Sicilia,2024,conoscenza_sapere,rischio_adulti,-1.863
Toscana,2024,conoscenza_sapere,rischio_adulti,0.307
Trentino-Alto Adige/Südtirol,2024,conoscenza_sapere,rischio_adulti,0.742
Umbria,2024,conoscenza_sapere,rischio_adulti,0.349
Valle d'Aosta/Vallée d'Aoste,2024,conoscenza_sapere,rischio_adulti,0.842
Veneto,2024,conoscenza_sapere,rischio_adulti,0.451
Abruzzo,2024,conoscenza_sapere,servizi_adulti,0.965
Basilicata,2024,conoscenza_sapere,servizi_adulti,0.948
Calabria,2024,conoscenza_sapere,servizi_adulti,0.269
Campania,2024,conoscenza_sapere,servizi_adulti,-1.122
Emilia-Romagna,2024,conoscenza_sapere,servizi_adulti,-0.751
Friuli-Venezia Giulia,2024,conoscenza_sapere,servizi_adulti,-0.086
Lazio,2024,conoscenza_sapere,servizi_adulti,0.638
Liguria,2024,conoscenza_sapere,servizi_adulti,-0.24
Lombardia,2024,conoscenza_sapere,servizi_adulti,-1.153
Marche,2024,conoscenza_sapere,servizi_adulti,0.783
Molise,2024,conoscenza_sapere,servizi_adulti,1.066
Piemonte,2024,conoscenza_sapere,servizi_adulti,-0.662
Puglia,2024,conoscenza_sapere,servizi_adulti,-1.797
Sardegna,2024,conoscenza_sapere,servizi_adulti,0.967
Sicilia,2024,conoscenza_sapere,servizi_adulti,-1.584
Toscana,2024,conoscenza_sapere,servizi_adulti,1.4
Trentino-Alto Adige/Südtirol,2024,conoscenza_sapere,servizi_adulti,1.429
Umbria,2024,conoscenza_sapere,servizi_adulti,-0.252
Valle d'Aosta/Vallée d'Aoste,2024,conoscenza_sapere,servizi_adulti,0.369
Veneto,2024,conoscenza_sapere,servizi_adulti,-1.189
Abruzzo,2024,cura,rischio_adulti,-0.556
Basilicata,2024,cura,rischio_adulti,0.022
Calabria,2024,cura,rischio_adulti,-0.486
Campania,2024,cura,rischio_adulti,-1.823
Emilia-Romagna,2024,cura,rischio_adulti,0.394
Friuli-Venezia Giulia,2024,cura,rischio_adulti,0.43
Lazio,2024,cura,rischio_adulti,-0.224
Liguria,2024,cura,rischio_adulti,0.415
Lombardia,2024,cura,rischio_adulti,0.642
Marche,2024,cura,rischio_adulti,0.044
Molise,2024,cura,rischio_adulti,-0.238
Piemonte,2024,cura,rischio_adulti,0.513
Puglia,2024,cura,rischio_adulti,-0.845
Sardegna,2024,cura,rischio_adulti,0.166
Sicilia,2024,cura,rischio_adulti,-1.266
Toscana,2024,cura,rischio_adulti,0.188
Trentino-Alto Adige/Südtirol,2024,cura,rischio_adulti,0.895
Umbria,2024,cura,rischio_adulti,0.273
Valle d'Aosta/Vallée d'Aoste,2024,cura,rischio_adulti,0.191
Veneto,2024,cura,rischio_adulti,0.426
Abruzzo,2024,cura,servizi_adulti,0.048
Basilicata,2024,cura,servizi_adulti,0.181
Calabria,2024,cura,servizi_adulti,-0.739
Campania,2024,cura,servizi_adulti,-1.018
Emilia-Romagna,2024,cura,servizi_adulti,1.696
Friuli-Venezia Giulia,2024,cura,servizi_adulti,-0.142
Lazio,2024,cura,servizi_adulti,-0.208
Liguria,2024,cura,servizi_adulti,0.077
Lombardia,2024,cura,servizi_adulti,0.115
Marche,2024,cura,servizi_adulti,-0.477
Molise,2024,cura,servizi_adulti,-0.84
Piemonte,2024,cura,servizi_adulti,0.081
Puglia,2024,cura,servizi_adulti,0.049
Sardegna,2024,cura,servizi_adulti,0.362
Sicilia,2024,cura,servizi_adulti,-0.123
Toscana,2024,cura,servizi_adulti,-0.036
Trentino-Alto Adige/Südtirol,2024,cura,servizi_adulti,-0.086
Umbria,2024,cura,servizi_adulti,0.484
Valle d'Aosta/Vallée d'Aoste,2024,cura,servizi_adulti,0.445
Veneto,2024,cura,servizi_adulti,0.364
Abruzzo,2024,cura,servizi_bambini,-0.546
Basilicata,2024,cura,servizi_bambini,0.209
Calabria,2024,cura,servizi_bambini,-0.679
Campania,2024,cura,servizi_bambini,-0.855
Emilia-Romagna,2024,cura,servizi_bambini,0.744
Friuli-Venezia Giulia,2024,cura,servizi_bambini,0.005
Lazio,2024,cura,servizi_bambini,-0.662
Liguria,2024,cura,servizi_bambini,0.705
Lombardia,2024,cura,servizi_bambini,-0.42
Marche,2024,cura,servizi_bambini,0.022
Molise,2024,cura,servizi_bambini,-0.014
Piemonte,2024,cura,servizi_bambini,0.713
Puglia,2024,cura,servizi_bambini,-0.516
Sardegna,2024,cura,servizi_bambini,0.264
Sicilia,2024,cura,servizi_bambini,-0.268
Toscana,2024,cura,servizi_bambini,0.317
Trentino-Alto Adige/Südtirol,2024,cura,servizi_bambini,-0.292
Umbria,2024,cura,servizi_bambini,0.943
Valle d'Aosta/Vallée d'Aoste,2024,cura,servizi_bambini,0.333
Veneto,2024,cura,servizi_bambini,-0.002
Abruzzo,2024,lavorare,rischio_adulti,-0.055
Basilicata,2024,lavorare,rischio_adulti,-0.283
Calabria,2024,lavorare,rischio_adulti,-1.582
Campania,2024,lavorare,rischio_adulti,-1.737
Emilia-Romagna,2024,lavorare,rischio_adulti,0.685
Friuli-Venezia Giulia,2024,lavorare,rischio_adulti,0.71
Lazio,2024,lavorare,rischio_adulti,-0.146
Liguria,2024,lavorare,rischio_adulti,0.395
Lombardia,2024,lavorare,rischio_adulti,0.711
Marche,2024,lavorare,rischio_adulti,0.544
Molise,2024,lavorare,rischio_adulti,-0.529
Piemonte,2024,lavorare,rischio_adulti,0.377
Puglia,2024,lavorare,rischio_adulti,-0.86
Sardegna,2024,lavorare,rischio_adulti,-0.747
Sicilia,2024,lavorare,rischio_adulti,-1.941
Toscana,2024,lavorare,rischio_adulti,0.634
Trentino-Alto Adige/Südtirol,2024,lavorare,rischio_adulti,1.441
Umbria,2024,lavorare,rischio_adulti,0.586
Valle d'Aosta/Vallée d'Aoste,2024,lavorare,rischio_adulti,0.892
Veneto,2024,lavorare,rischio_adulti,0.905
Abruzzo,2024,lavorare,servizi_adulti,-0.424
Basilicata,2024,lavorare,servizi_adulti,-0.516
Calabria,2024,lavorare,servizi_adulti,-0.639
Campania,2024,lavorare,servizi_adulti,-0.595
Emilia-Romagna,2024,lavorare,servizi_adulti,0.08
Friuli-Venezia Giulia,2024,lavorare,servizi_adulti,1.112
Lazio,2024,lavorare,servizi_adulti,-0.508
Liguria,2024,lavorare,servizi_adulti,0.235
Lombardia,2024,lavorare,servizi_adulti,0.086
Marche,2024,lavorare,servizi_adulti,-0.155
Molise,2024,lavorare,servizi_adulti,-0.315
Piemonte,2024,lavorare,servizi_adulti,0.032
Puglia,2024,lavorare,servizi_adulti,-0.407
Sardegna,2024,lavorare,servizi_adulti,-0.37
Sicilia,2024,lavorare,servizi_adulti,-0.346
Toscana,2024,lavorare,servizi_adulti,-0.197
Trentino-Alto Adige/Südtirol,2024,lavorare,servizi_adulti,-0.445
Umbria,2024,lavorare,servizi_adulti,-0.579
Valle d'Aosta/Vallée d'Aoste,2024,lavorare,servizi_adulti,0.0
Veneto,2024,lavorare,servizi_adulti,3.949
Abruzzo,2024,vita_sana,rischio_adulti,0.131
Basilicata,2024,vita_sana,rischio_adulti,0.014
Calabria,2024,vita_sana,rischio_adulti,0.106
Campania,2024,vita_sana,rischio_adulti,-0.285
Emilia-Romagna,2024,vita_sana,rischio_adulti,0.151
Friuli-Venezia Giulia,2024,vita_sana,rischio_adulti,-0.086
Lazio,2024,vita_sana,rischio_adulti,0.578
Liguria,2024,vita_sana,rischio_adulti,-0.131
Lombardia,2024,vita_sana,rischio_adulti,0.381
Marche,2024,vita_sana,rischio_adulti,-1.311
Molise,2024,vita_sana,rischio_adulti,0.63
Piemonte,2024,vita_sana,rischio_adulti,-0.558
Puglia,2024,vita_sana,rischio_adulti,0.156
Sardegna,2024,vita_sana,rischio_adulti,-0.146
Sicilia,2024,vita_sana,rischio_adulti,0.197
Toscana,2024,vita_sana,rischio_adulti,-0.257
Trentino-Alto Adige/Südtirol,2024,vita_sana,rischio_adulti,1.194
Umbria,2024,vita_sana,rischio_adulti,-0.083
Valle d'Aosta/Vallée d'Aoste,2024,vita_sana,rischio_adulti,-0.807
Veneto,2024,vita_sana,rischio_adulti,0.125
Abruzzo,2024,vita_sana,rischio_bambini,-0.593
Basilicata,2024,vita_sana,rischio_bambini,-0.623
Calabria,2024,vita_sana,rischio_bambini,0.047
Campania,2024,vita_sana,rischio_bambini,-0.462
Emilia-Romagna,2024,vita_sana,rischio_bambini,0.444
Friuli-Venezia Giulia,2024,vita_sana,rischio_bambini,0.965
Lazio,2024,vita_sana,rischio_bambini,0.421
Liguria,2024,vita_sana,rischio_bambini,0.02
Lombardia,2024,vita_sana,rischio_bambini,0.311
Marche,2024,vita_sana,rischio_bambini,0.592
Molise,2024,vita_sana,rischio_bambini,-0.852
Piemonte,2024,vita_sana,rischio_bambini,0.34
Puglia,2024,vita_sana,rischio_bambini,-0.931
Sardegna,2024,vita_sana,rischio_bambini,-0.661
Sicilia,2024,vita_sana,rischio_bambini,-1.207
Toscana,2024,vita_sana,rischio_bambini,0.638
Trentino-Alto Adige/Südtirol,2024,vita_sana,rischio_bambini,0.885
Umbria,2024,vita_sana,rischio_bambini,-0.001
Valle d'Aosta/Vallée d'Aoste,2024,vita_sana,rischio_bambini,0.455
Veneto,2024,vita_sana,rischio_bambini,0.21
Abruzzo,2024,vita_sana,servizi_adulti,-0.321
Basilicata,2024,vita_sana,servizi_adulti,-0.15
Calabria,2024,vita_sana,servizi_adulti,-0.812
Campania,2024,vita_sana,servizi_adulti,-1.19
Emilia-Romagna,2024,vita_sana,servizi_adulti,-0.018
Friuli-Venezia Giulia,2024,vita_sana,servizi_adulti,-0.66
Lazio,2024,vita_sana,servizi_adulti,-0.521
Liguria,2024,vita_sana,servizi_adulti,1.267
Lombardia,2024,vita_sana,servizi_adulti,-0.03
Marche,2024,vita_sana,servizi_adulti,0.682
Molise,2024,vita_sana,servizi_adulti,-0.036
Piemonte,2024,vita_sana,servizi_adulti,0.443
Puglia,2024,vita_sana,servizi_adulti,-0.388
Sardegna,2024,vita_sana,servizi_adulti,-0.267
Sicilia,2024,vita_sana,servizi_adulti,-0.707
Toscana,2024,vita_sana,servizi_adulti,0.413
Trentino-Alto Adige/Südtirol,2024,vita_sana,servizi_adulti,0.085
Umbria,2024,vita_sana,servizi_adulti,0.331
Valle d'Aosta/Vallée d'Aoste,2024,vita_sana,servizi_adulti,1.105
Veneto,2024,vita_sana,servizi_adulti,0.774
Abruzzo,2024,vita_sana,servizi_bambini,-0.049
Basilicata,2024,vita_sana,servizi_bambini,-0.145
Calabria,2024,vita_sana,servizi_bambini,-0.868
Campania,2024,vita_sana,servizi_bambini,-0.584
Emilia-Romagna,2024,vita_sana,servizi_bambini,0.802
Friuli-Venezia Giulia,2024,vita_sana,servizi_bambini,-0.908
Lazio,2024,vita_sana,servizi_bambini,0.204
Liguria,2024,vita_sana,servizi_bambini,0.079
Lombardia,2024,vita_sana,servizi_bambini,-0.941
Marche,2024,vita_sana,servizi_bambini,-0.159
Molise,2024,vita_sana,servizi_bambini,0.006
Piemonte,2024,vita_sana,servizi_bambini,-1.055
Puglia,2024,vita_sana,servizi_bambini,0.513
Sardegna,2024,vita_sana,servizi_bambini,1.003
Sicilia,2024,vita_sana,servizi_bambini,0.01
Toscana,2024,vita_sana,servizi_bambini,1.467
Trentino-Alto Adige/Südtirol,2024,vita_sana,servizi_bambini,-0.538
Umbria,2024,vita_sana,servizi_bambini,0.482
Valle d'Aosta/Vallée d'Aoste,2024,vita_sana,servizi_bambini,1.013
Veneto,2024,vita_sana,servizi_bambini,-0.333
Abruzzo,2024,vita_sicura,rischio_adulti,-0.311
Basilicata,2024,vita_sicura,rischio_adulti,-0.248
Calabria,2024,vita_sicura,rischio_adulti,-0.038
Campania,2024,vita_sicura,rischio_adulti,-1.398
Emilia-Romagna,2024,vita_sicura,rischio_adulti,0.185
Friuli-Venezia Giulia,2024,vita_sicura,rischio_adulti,0.808
Lazio,2024,vita_sicura,rischio_adulti,-0.494
Liguria,2024,vita_sicura,rischio_adulti,0.441
Lombardia,2024,vita_sicura,rischio_adulti,0.2
Marche,2024,vita_sicura,rischio_adulti,0.068
Molise,2024,vita_sicura,rischio_adulti,-0.473
Piemonte,2024,vita_sicura,rischio_adulti,0.317
Puglia,2024,vita_sicura,rischio_adulti,-0.933
Sardegna,2024,vita_sicura,rischio_adulti,0.184
Sicilia,2024,vita_sicura,rischio_adulti,-0.327
Toscana,2024,vita_sicura,rischio_adulti,0.047
Trentino-Alto Adige/Südtirol,2024,vita_sicura,rischio_adulti,1.333
Umbria,2024,vita_sicura,rischio_adulti,0.446
Valle d'Aosta/Vallée d'Aoste,2024,vita_sicura,rischio_adulti,-0.1
Veneto,2024,vita_sicura,rischio_adulti,0.293
Abruzzo,2024,vita_sicura,servizi_adulti,0.242
Basilicata,2024,vita_sicura,servizi_adulti,-0.678
Calabria,2024,vita_sicura,servizi_adulti,0.574
Campania,2024,vita_sicura,servizi_adulti,-0.624
Emilia-Romagna,2024,vita_sicura,servizi_adulti,0.714
Friuli-Venezia Giulia,2024,vita_sicura,servizi_adulti,0.262
Lazio,2024,vita_sicura,servizi_adulti,-1.176
Liguria,2024,vita_sicura,servizi_adulti,-0.204
Lombardia,2024,vita_sicura,servizi_adulti,0.613
Marche,2024,vita_sicura,servizi_adulti,0.311
Molise,2024,vita_sicura,servizi_adulti,0.192
Piemonte,2024,vita_sicura,servizi_adulti,-0.874
Puglia,2024,vita_sicura,servizi_adulti,-0.312
Sardegna,2024,vita_sicura,servizi_adulti,0.148
Sicilia,2024,vita_sicura,servizi_adulti,-0.556
Toscana,2024,vita_sicura,servizi_adulti,-0.234
Trentino-Alto Adige/Südtirol,2024,vita_sicura,servizi_adulti,-0.445
Umbria,2024,vita_sicura,servizi_adulti,1.574
Valle d'Aosta/Vallée d'Aoste,2024,vita_sicura,servizi_adulti,0.298
Veneto,2024,vita_sicura,servizi_adulti,0.176
